Rented Bike Count,Temperature(°C),Hour,Dew point temperature(°C),Solar Radiation (MJ/m2),Visibility (10m),Humidity(%),Rainfall(mm),Snowfall (cm)
187,-0.6,23,-12.8,0.0,1731,39,0.0,0.0
182,-1.1,0,-11.8,0.0,1741,44,0.0,0.0
189,-1.4,1,-12.3,0.0,1791,43,0.0,0.0
124,-1.5,2,-11.6,0.0,1744,46,0.0,0.0
103,-1.3,3,-12.5,0.0,1648,42,0.0,0.0
52,-1.1,4,-12.1,0.0,1558,43,0.0,0.0
37,-0.7,5,-12.3,0.0,1442,41,0.0,0.0
54,-0.8,6,-11.5,0.0,1541,44,0.0,0.0
77,-1.0,7,-10.9,0.0,1552,47,0.0,0.0
158,-1.3,8,-9.4,0.06,1597,54,0.0,0.0
173,-0.3,9,-10.0,0.43,1394,48,0.0,0.0
195,2.1,10,-9.5,1.12,1564,42,0.0,0.0
244,4.3,11,-12.2,1.87,1293,29,0.0,0.0
396,5.5,12,-13.0,2.28,1652,25,0.0,0.0
482,6.1,13,-14.0,2.5,1710,22,0.0,0.0
572,7.0,14,-12.7,2.52,1645,23,0.0,0.0
612,7.5,15,-13.4,2.22,1900,21,0.0,0.0
688,7.6,16,-15.2,1.73,1930,18,0.0,0.0
589,6.9,17,-11.8,1.07,1795,25,0.0,0.0
402,5.2,18,-11.0,0.36,1877,30,0.0,0.0
297,3.1,19,-9.2,0.01,1804,40,0.0,0.0
232,1.3,20,-8.2,0.0,1683,49,0.0,0.0
239,0.2,21,-7.7,0.0,1942,55,0.0,0.0
230,0.0,22,-8.2,0.0,1929,54,0.0,0.0
173,-0.3,23,-7.5,0.0,1945,58,0.0,0.0
135,-0.9,0,-7.7,0.0,1844,60,0.0,0.0
122,-1.2,1,-7.3,0.0,1846,63,0.0,0.0
80,-1.7,2,-7.2,0.0,1631,66,0.0,0.0
46,-1.9,3,-7.2,0.0,1575,67,0.0,0.0
46,-2.3,4,-7.2,0.0,1411,69,0.0,0.0
65,-2.5,5,-6.6,0.0,1134,73,0.0,0.0
161,-2.7,6,-7.0,0.0,1253,72,0.0,0.0
402,-3.1,7,-8.1,0.0,1417,68,0.0,0.0
786,-2.9,8,-8.9,0.11,1386,63,0.0,0.0
416,-1.1,9,-9.4,0.72,1308,53,0.0,0.0
289,1.9,10,-8.5,1.39,1233,46,0.0,0.0
356,4.6,11,-8.8,1.95,1309,37,0.0,0.0
428,6.9,12,-10.3,2.35,1301,28,0.0,0.0
444,8.1,13,-10.2,2.48,1422,26,0.0,0.0
455,9.9,14,-9.2,2.43,1401,25,0.0,0.0
521,10.3,15,-9.9,2.09,1317,23,0.0,0.0
555,9.5,16,-6.8,1.54,973,31,0.0,0.0
646,8.7,17,-7.9,0.96,1117,30,0.0,0.0
929,7.2,18,-11.0,0.33,1398,26,0.0,0.0
619,5.5,19,-10.7,0.01,1150,30,0.0,0.0
483,4.3,20,-10.9,0.0,1101,32,0.0,0.0
512,3.3,21,-10.3,0.0,1110,36,0.0,0.0
443,2.7,22,-9.5,0.0,1089,40,0.0,0.0
308,2.8,23,-9.8,0.0,1065,39,0.0,0.0
236,2.6,0,-9.6,0.0,1095,40,0.0,0.0
213,2.1,1,-8.9,0.0,1107,44,0.0,0.0
145,1.5,2,-9.4,0.0,1079,44,0.0,0.0
102,1.1,3,-9.8,0.0,1128,44,0.0,0.0
62,0.9,4,-9.4,0.0,1140,46,0.0,0.0
72,0.6,5,-8.6,0.0,1026,50,0.0,0.0
183,0.6,6,-8.6,0.0,985,50,0.0,0.0
443,1.3,7,-8.7,0.0,1084,47,0.0,0.0
767,2.0,8,-7.0,0.0,990,51,0.0,0.0
455,2.5,9,-6.6,0.07,866,51,0.0,0.0
261,3.3,10,-6.9,0.22,818,47,0.0,0.0
342,4.8,11,-7.3,0.53,792,41,0.0,0.0
353,5.4,12,-8.1,0.43,815,37,0.0,0.0
335,5.8,13,-7.1,0.35,931,39,0.0,0.0
357,6.3,14,-6.3,0.34,943,40,0.0,0.0
402,6.7,15,-3.5,0.39,817,48,0.0,0.0
411,6.9,16,-1.7,0.32,692,54,0.0,0.0
529,6.8,17,-1.1,0.16,623,57,0.0,0.0
897,6.6,18,-0.1,0.05,522,62,0.0,0.0
616,6.1,19,-5.2,0.0,750,44,0.0,0.0
461,5.9,20,-5.4,0.0,733,44,0.0,0.0
449,5.7,21,-5.0,0.0,727,46,0.0,0.0
461,5.4,22,-4.4,0.0,687,49,0.0,0.0
310,5.3,23,-3.5,0.0,582,53,0.0,0.0
266,5.1,0,-3.9,0.0,614,52,0.0,0.0
229,5.0,1,-3.8,0.0,557,53,0.0,0.0
174,5.2,2,-3.3,0.0,516,54,0.0,0.0
116,5.3,3,-3.0,0.0,488,55,0.0,0.0
72,5.4,4,-2.6,0.0,472,56,0.0,0.0
62,5.2,5,-2.1,0.0,437,59,0.0,0.0
165,5.2,6,-1.9,0.0,430,60,0.0,0.0
426,5.5,7,-1.8,0.0,448,59,0.0,0.0
816,5.7,8,-2.1,0.04,458,57,0.0,0.0
419,6.2,9,-2.1,0.13,478,55,0.0,0.0
285,6.5,10,-2.4,0.21,518,53,0.0,0.0
332,7.1,11,-2.6,0.33,534,50,0.0,0.0
305,7.6,12,-2.7,0.39,600,48,0.0,0.0
28,7.6,13,-0.3,0.33,554,57,0.0,0.0
17,5.7,14,2.5,0.13,348,80,0.0,0.0
7,4.8,15,2.8,0.08,312,87,4.5,0.0
9,4.2,16,2.5,0.07,479,89,0.0,0.0
8,3.8,17,2.3,0.0,654,90,0.0,0.0
11,3.6,18,2.1,0.0,845,90,9.5,0.0
19,2.5,19,1.7,0.0,838,95,0.0,0.0
8,2.7,20,2.1,0.0,1479,96,0.0,0.0
10,2.4,21,1.6,0.0,1349,95,9.0,0.0
13,2.3,22,1.7,0.0,1207,96,0.0,0.0
23,1.8,23,1.2,0.0,745,96,0.0,0.0
160,-4.3,0,-16.5,0.0,2000,38,0.0,0.0
130,-5.0,1,-15.9,0.0,1993,42,0.0,0.0
110,-5.5,2,-16.1,0.0,2000,43,0.0,0.0
67,-6.1,3,-16.1,0.0,1999,45,0.0,0.0
43,-6.1,4,-16.1,0.0,2000,45,0.0,0.0
67,-6.4,5,-15.8,0.0,1981,47,0.0,0.0
137,-6.7,6,-15.9,0.0,1991,48,0.0,0.0
308,-6.9,7,-16.0,0.0,1974,48,0.0,0.0
670,-7.0,8,-15.9,0.0,1971,49,0.0,0.0
342,-6.8,9,-17.0,0.16,1858,44,0.0,0.0
213,-5.6,10,-17.6,0.55,1752,38,0.0,0.0
267,-4.5,11,-17.3,0.77,1736,36,0.0,0.0
297,-3.4,12,-17.7,1.02,1706,32,0.0,0.0
279,-2.2,13,-17.0,1.13,1910,31,0.0,0.0
270,-1.5,14,-16.8,1.1,1903,30,0.0,0.0
286,-1.1,15,-16.9,0.96,1976,29,0.0,0.0
299,-0.4,16,-15.9,0.62,2000,30,0.0,0.0
382,-1.9,17,-15.3,0.25,2000,35,0.0,0.0
637,-3.1,18,-15.1,0.0,2000,39,0.0,0.0
431,-3.7,19,-15.0,0.0,2000,41,0.0,0.0
294,-3.9,20,-14.3,0.0,2000,44,0.0,0.0
335,-4.3,21,-13.9,0.0,1997,47,0.0,0.0
291,-5.2,22,-13.3,0.0,1969,53,0.0,0.0
197,-5.9,23,-13.7,0.0,1968,54,0.0,0.0
182,-2.5,0,-7.4,0.0,1366,69,0.0,0.0
184,-2.3,1,-6.8,0.0,1078,71,0.0,0.0
123,-3.4,2,-6.0,0.0,184,82,0.0,0.0
60,-4.4,3,-7.3,0.0,346,80,0.1,0.1
35,-5.6,4,-9.5,0.0,387,74,0.0,0.2
31,-6.3,5,-11.8,0.0,1521,65,0.0,0.3
33,-7.8,6,-14.8,0.0,1867,57,0.4,0.3
67,-8.8,7,-15.5,0.0,1942,58,0.0,0.3
116,-9.5,8,-16.6,0.01,1979,56,0.0,0.3
168,-9.4,9,-18.6,0.42,1995,47,0.0,0.3
144,-8.5,10,-18.8,1.09,1797,43,0.0,0.2
195,-7.7,11,-18.7,1.65,1984,41,0.0,0.2
192,-6.0,12,-18.0,2.04,1930,38,0.0,0.0
229,-5.8,13,-17.8,2.25,1961,38,0.0,0.0
196,-5.0,14,-19.5,2.18,2000,31,0.0,0.0
210,-4.5,15,-19.1,1.91,1979,31,0.0,0.0
205,-4.2,16,-18.8,1.42,1974,31,0.0,0.0
211,-5.6,17,-19.7,0.53,2000,32,0.0,0.0
175,-6.6,18,-19.2,0.15,2000,36,0.0,0.0
135,-7.6,19,-21.4,0.0,2000,32,0.0,0.0
109,-8.5,20,-22.6,0.0,2000,31,0.0,0.0
107,-9.1,21,-20.8,0.0,2000,38,0.0,0.0
92,-9.7,22,-19.4,0.0,2000,45,0.0,0.0
91,-10.0,23,-18.9,0.0,2000,48,0.0,0.0
218,0.5,0,-13.5,0.0,1889,34,0.0,0.0
229,0.6,1,-12.7,0.0,1933,36,0.0,0.0
176,0.9,2,-12.8,0.0,1856,35,0.0,0.0
149,0.8,3,-11.9,0.0,1594,38,0.0,0.0
93,0.6,4,-10.5,0.0,1599,43,0.0,0.0
55,0.8,5,-11.6,0.0,1463,39,0.0,0.0
71,0.5,6,-10.9,0.0,1543,42,0.0,0.0
159,0.1,7,-11.0,0.0,1502,43,0.0,0.0
306,0.4,8,-12.3,0.16,1564,38,0.0,0.0
329,2.2,9,-13.6,0.81,1513,30,0.0,0.0
354,5.1,10,-12.4,1.54,1563,27,0.0,0.0
431,8.1,11,-12.9,2.15,1738,21,0.0,0.0
605,10.7,12,-14.1,2.56,1657,16,0.0,0.0
771,12.2,13,-14.5,2.75,1896,14,0.0,0.0
1025,14.4,14,-12.8,2.66,1833,14,0.0,0.0
1238,16.0,15,-11.5,2.33,1828,14,0.0,0.0
1285,15.8,16,-10.8,1.7,1867,15,0.0,0.0
1197,15.0,17,-6.5,0.96,1946,22,0.0,0.0
920,13.9,18,-5.3,0.41,1995,26,0.0,0.0
630,12.7,19,-3.6,0.01,2000,32,0.0,0.0
631,11.1,20,1.3,0.0,1957,51,0.0,0.0
588,10.3,21,0.8,0.0,1843,52,0.0,0.0
516,10.2,22,0.0,0.0,1972,49,0.0,0.0
215,9.4,23,4.9,0.0,559,74,0.0,0.0
532,16.8,0,11.0,0.0,1395,69,0.0,0.0
430,17.1,1,12.0,0.0,1353,72,0.0,0.0
275,17.0,2,12.1,0.0,1184,73,0.0,0.0
156,17.0,3,12.3,0.0,1294,74,0.0,0.0
124,16.9,4,12.2,0.0,1199,74,0.0,0.0
163,16.9,5,12.0,0.0,1275,73,0.0,0.0
388,16.8,6,12.1,0.0,1265,74,0.0,0.0
1033,16.8,7,11.9,0.01,1366,73,0.0,0.0
1677,17.3,8,11.9,0.17,1481,71,0.0,0.0
867,18.3,9,12.0,0.55,1375,67,0.0,0.0
664,18.9,10,12.4,0.85,1298,66,0.0,0.0
696,19.0,11,12.7,0.52,1062,67,0.0,0.0
913,19.6,12,12.3,0.68,1034,63,0.0,0.0
870,20.1,13,12.3,1.01,1117,61,0.0,0.0
931,21.0,14,11.0,1.12,1306,53,0.0,0.0
961,19.9,15,11.3,0.51,1348,58,0.0,0.0
1173,19.7,16,11.1,0.78,1302,58,0.0,0.0
1436,19.7,17,10.9,0.54,1302,57,0.0,0.0
2134,18.9,18,12.8,0.12,1326,68,0.0,0.0
1415,18.0,19,13.2,0.02,1258,74,0.0,0.0
1470,17.3,20,13.8,0.0,927,80,0.0,0.0
1223,17.0,21,14.0,0.0,744,83,0.0,0.0
1030,16.0,22,13.4,0.0,409,85,0.0,0.0
454,15.0,23,14.0,0.0,163,94,0.0,0.0
361,8.7,0,6.4,0.0,2000,86,0.0,0.0
323,7.9,1,5.6,0.0,2000,86,0.0,0.0
251,7.3,2,5.1,0.0,2000,86,0.0,0.0
156,7.0,3,4.8,0.0,2000,86,0.0,0.0
109,7.0,4,4.9,0.0,2000,87,0.0,0.0
163,7.0,5,4.6,0.0,2000,85,0.0,0.0
469,7.9,6,5.6,0.01,1070,86,0.0,0.0
1160,8.4,7,5.6,0.31,1400,83,0.0,0.0
1946,10.5,8,4.6,0.98,1221,67,0.0,0.0
1061,12.8,9,3.1,1.65,1614,52,0.0,0.0
762,13.8,10,2.6,1.64,1561,47,0.0,0.0
794,14.7,11,2.8,1.68,1799,45,0.0,0.0
871,14.1,12,6.1,1.12,1870,59,0.0,0.0
516,13.4,13,4.7,0.82,1693,56,0.1,0.0
367,12.7,14,8.3,0.88,1510,75,0.4,0.0
590,12.2,15,3.6,0.57,2000,56,0.5,0.0
911,12.8,16,3.4,0.76,2000,53,0.0,0.0
1421,13.2,17,2.7,0.69,1999,49,0.0,0.0
2310,13.4,18,2.8,0.6,1982,49,0.0,0.0
1663,13.3,19,2.7,0.45,1919,49,0.0,0.0
1401,12.6,20,1.5,0.02,1935,47,0.0,0.0
1388,11.9,21,1.2,0.0,1918,48,0.0,0.0
1202,11.2,22,3.7,0.0,1684,60,0.0,0.0
832,10.6,23,3.6,0.0,1694,62,0.0,0.0
1248,19.7,0,10.3,0.0,1986,55,0.0,0.0
902,19.2,1,10.4,0.0,1985,57,0.0,0.0
673,18.6,2,10.6,0.0,1841,60,0.0,0.0
437,18.0,3,11.0,0.0,1560,64,0.0,0.0
294,17.4,4,10.7,0.0,1093,65,0.0,0.0
193,17.1,5,10.6,0.0,1370,66,0.0,0.0
228,16.9,6,9.5,0.06,1768,62,0.0,0.0
423,18.0,7,8.5,0.51,1997,54,0.0,0.0
659,20.3,8,8.6,1.05,1785,47,0.0,0.0
831,22.7,9,8.0,1.91,1880,39,0.0,0.0
938,24.8,10,7.8,2.09,1869,34,0.0,0.0
977,26.7,11,7.6,2.83,1782,30,0.0,0.0
1134,28.7,12,7.8,3.29,1843,27,0.0,0.0
1393,29.4,13,6.7,3.18,1905,24,0.0,0.0
1399,29.8,14,8.2,3.2,1818,26,0.0,0.0
1556,30.7,15,5.8,2.95,1876,21,0.0,0.0
1834,30.4,16,9.8,2.48,1790,28,0.0,0.0
2131,29.5,17,9.5,1.84,1944,29,0.0,0.0
2349,29.3,18,7.2,1.23,1973,25,0.0,0.0
2514,27.4,19,7.7,0.5,2000,29,0.0,0.0
2460,25.3,20,7.4,0.06,1997,32,0.0,0.0
2173,24.2,21,6.4,0.0,2000,32,0.0,0.0
1741,23.0,22,7.9,0.0,1996,38,0.0,0.0
1274,22.0,23,9.1,0.0,1978,44,0.0,0.0
349,23.2,0,22.8,0.0,927,98,0.5,0.0
407,23.1,1,22.7,0.0,958,98,0.0,0.0
354,23.0,2,22.6,0.0,1026,98,0.0,0.0
233,22.8,3,22.4,0.0,1734,98,0.0,0.0
149,22.7,4,22.1,0.0,1808,97,0.0,0.0
224,22.6,5,22.0,0.0,1383,97,0.0,0.0
600,22.6,6,21.7,0.05,1937,95,0.0,0.0
1308,23.5,7,21.0,0.38,1908,86,0.0,0.0
2135,24.3,8,21.2,0.53,1986,83,0.0,0.0
1156,25.7,9,21.1,1.11,1920,76,0.0,0.0
818,27.6,10,21.8,2.14,1870,71,0.0,0.0
906,29.2,11,22.1,2.72,1953,66,0.0,0.0
944,30.1,12,22.5,2.54,2000,64,0.0,0.0
994,31.2,13,20.7,3.11,1961,54,0.0,0.0
1001,31.0,14,21.1,1.47,2000,56,0.0,0.0
1069,32.0,15,21.5,2.99,1962,54,0.0,0.0
1325,31.3,16,20.2,1.63,2000,52,0.0,0.0
1783,32.4,17,20.6,1.92,2000,50,0.0,0.0
2965,32.2,18,22.5,1.53,1880,57,0.0,0.0
2598,30.4,19,22.2,0.65,2000,62,0.1,0.0
2398,28.8,20,23.2,0.11,2000,72,0.0,0.0
2264,27.8,21,22.2,0.0,2000,72,0.0,0.0
1948,26.9,22,22.7,0.0,1806,78,0.0,0.0
1365,26.4,23,22.2,0.0,2000,78,0.0,0.0
763,32.1,0,25.1,0.0,1077,67,0.0,0.0
675,31.7,1,25.0,0.0,1103,68,0.0,0.0
443,31.5,2,24.8,0.0,1001,68,0.0,0.0
327,31.2,3,24.5,0.0,968,68,0.0,0.0
236,31.0,4,25.5,0.0,990,73,0.0,0.0
266,30.5,5,24.8,0.0,1084,72,0.0,0.0
544,30.5,6,22.3,0.01,1583,62,0.0,0.0
937,30.8,7,21.5,0.22,1777,58,0.0,0.0
1471,31.8,8,21.6,0.78,1537,55,0.0,0.0
784,33.0,9,21.1,1.49,1722,50,0.0,0.0
530,34.3,10,21.7,2.12,1822,48,0.0,0.0
575,35.7,11,20.7,2.56,1727,42,0.0,0.0
585,36.8,12,21.3,2.53,1759,41,0.0,0.0
585,36.8,13,22.5,1.79,1625,44,0.0,0.0
575,37.4,14,21.5,2.03,1519,40,0.0,0.0
600,37.4,15,23.0,2.71,1499,44,0.0,0.0
763,36.7,16,22.4,2.16,1666,44,0.0,0.0
1105,35.8,17,23.4,1.52,1633,49,0.0,0.0
1920,34.4,18,23.4,0.8,1650,53,0.0,0.0
1558,33.5,19,22.9,0.35,1871,54,0.0,0.0
1517,32.2,20,22.8,0.02,1673,58,0.0,0.0
1511,31.2,21,23.3,0.0,1537,63,0.0,0.0
1421,30.6,22,23.0,0.0,1705,64,0.0,0.0
1103,30.2,23,22.1,0.0,1708,62,0.0,0.0
763,24.7,0,18.1,0.0,2000,67,0.0,0.0
524,24.5,1,18.1,0.0,2000,68,0.0,0.0
321,24.3,2,18.0,0.0,2000,68,0.0,0.0
211,24.2,3,18.3,0.0,2000,70,0.0,0.0
153,24.0,4,18.1,0.0,2000,70,0.0,0.0
264,23.9,5,18.0,0.0,2000,70,0.0,0.0
656,23.8,6,18.2,0.0,2000,71,0.0,0.0
1287,23.9,7,18.3,0.02,2000,71,0.0,0.0
1580,24.2,8,18.3,0.16,2000,70,0.0,0.0
719,23.6,9,21.1,0.14,336,86,2.0,0.0
434,23.3,10,21.3,0.2,1716,89,0.5,0.0
443,23.7,11,21.2,0.31,1798,86,0.0,0.0
673,23.9,12,20.8,0.27,1901,83,0.0,0.0
731,24.9,13,20.7,0.72,1910,78,0.0,0.0
532,25.6,14,21.2,0.78,1930,77,0.0,0.0
137,25.7,15,22.1,0.43,1825,81,0.0,0.0
39,25.5,16,23.9,0.23,403,91,3.5,0.0
23,22.7,17,22.0,0.07,452,96,13.0,0.0
113,21.9,18,21.3,0.02,757,97,13.0,0.0
73,21.7,19,21.1,0.01,1154,97,1.0,0.0
151,21.5,20,20.9,0.0,2000,97,0.5,0.0
110,21.6,21,21.0,0.0,646,97,0.5,0.0
379,21.7,22,21.1,0.0,440,97,0.5,0.0
486,21.7,23,21.1,0.0,838,97,0.0,0.0
1040,14.5,0,9.9,0.0,2000,74,0.0,0.0
882,13.8,1,9.4,0.0,2000,75,0.0,0.0
685,13.2,2,9.2,0.0,1972,77,0.0,0.0
497,12.6,3,8.8,0.0,1907,78,0.0,0.0
284,12.1,4,8.7,0.0,1834,80,0.0,0.0
173,11.8,5,8.8,0.0,1878,82,0.0,0.0
278,11.4,6,8.7,0.0,1742,84,0.0,0.0
440,11.2,7,8.7,0.02,1593,85,0.0,0.0
762,11.8,8,7.1,0.49,1649,73,0.0,0.0
966,14.4,9,6.9,1.21,1340,61,0.0,0.0
1113,17.3,10,7.6,1.83,1406,53,0.0,0.0
1248,20.3,11,8.2,2.29,1409,46,0.0,0.0
1634,21.4,12,7.2,2.53,1973,40,0.0,0.0
1849,22.5,13,8.2,2.64,1854,40,0.0,0.0
1995,23.4,14,7.0,2.51,1972,35,0.0,0.0
2200,24.1,15,7.2,2.14,1996,34,0.0,0.0
2112,24.0,16,7.1,1.62,2000,34,0.0,0.0
2400,23.3,17,7.3,0.95,1960,36,0.0,0.0
2235,21.5,18,8.3,0.26,2000,43,0.0,0.0
1792,20.0,19,8.9,0.0,2000,49,0.0,0.0
1744,18.6,20,9.3,0.0,2000,55,0.0,0.0
1594,17.6,21,9.4,0.0,2000,59,0.0,0.0
1393,16.9,22,9.8,0.0,2000,63,0.0,0.0
1033,16.1,23,9.0,0.0,2000,63,0.0,0.0
0,8.8,0,2.1,0.0,1314,63,0.0,0.0
0,8.5,1,1.3,0.0,1273,61,0.0,0.0
0,7.6,2,2.0,0.0,1170,68,0.0,0.0
0,7.1,3,1.3,0.0,1229,67,0.0,0.0
0,6.3,4,1.6,0.0,1104,72,0.0,0.0
0,6.1,5,1.9,0.0,1053,75,0.0,0.0
0,5.5,6,1.9,0.0,983,78,0.0,0.0
0,5.2,7,1.8,0.0,894,79,0.0,0.0
0,5.4,8,1.3,0.11,905,75,0.0,0.0
0,7.9,9,0.1,0.8,1033,58,0.0,0.0
0,11.0,10,0.6,1.4,957,49,0.0,0.0
0,14.5,11,1.7,1.85,890,42,0.0,0.0
0,16.5,12,1.7,2.14,1060,37,0.0,0.0
0,17.8,13,-0.4,2.17,1328,29,0.0,0.0
0,18.1,14,-2.8,1.97,1594,24,0.0,0.0
0,18.5,15,-1.9,1.63,1724,25,0.0,0.0
0,18.7,16,-1.7,1.07,1605,25,0.0,0.0
0,16.7,17,4.6,0.43,772,45,0.0,0.0
0,14.2,18,4.1,0.02,990,51,0.0,0.0
0,13.4,19,6.2,0.0,740,62,0.0,0.0
0,12.1,20,6.3,0.0,592,68,0.0,0.0
0,11.1,21,5.6,0.0,619,69,0.0,0.0
0,10.0,22,4.3,0.0,791,68,0.0,0.0
0,9.2,23,2.9,0.0,1064,65,0.0,0.0
309,6.4,0,-0.3,0.0,506,62,0.0,0.0
231,5.9,1,-0.1,0.0,596,65,0.0,0.0
161,5.4,2,-0.4,0.0,623,66,0.0,0.0
103,5.5,3,-1.2,0.0,722,62,0.0,0.0
88,6.2,4,-1.2,0.0,493,59,0.0,0.0
97,6.8,5,-1.3,0.0,570,56,0.0,0.0
252,7.0,6,-0.7,0.0,537,58,0.0,0.0
668,7.2,7,-1.0,0.0,545,56,0.0,0.0
1215,8.0,8,-2.3,0.12,711,48,0.0,0.0
616,9.4,9,-2.2,0.33,743,44,0.0,0.0
428,10.9,10,-2.1,0.55,714,40,0.0,0.0
571,12.6,11,2.1,0.84,988,49,0.0,0.0
626,15.5,12,4.2,2.44,1303,47,0.0,0.0
678,17.1,13,4.0,2.6,1305,42,0.0,0.0
705,18.3,14,5.4,2.43,1509,43,0.0,0.0
815,18.6,15,7.0,2.08,1560,47,0.0,0.0
890,17.6,16,7.8,1.4,1735,53,0.0,0.0
1085,16.9,17,9.5,0.95,1562,62,0.0,0.0
1749,15.7,18,9.8,0.39,1473,68,0.0,0.0
1224,14.1,19,10.1,0.04,1240,77,0.0,0.0
986,13.9,20,9.9,0.0,1010,77,0.0,0.0
982,13.7,21,10.1,0.0,1035,79,0.0,0.0
912,13.5,22,10.2,0.0,933,81,0.0,0.0
572,13.4,23,10.1,0.0,958,81,0.0,0.0
412,13.6,0,10.0,0.0,862,79,0.0,0.0
309,13.7,1,8.9,0.0,1182,73,0.0,0.0
226,13.8,2,8.4,0.0,1363,70,0.0,0.0
142,14.0,3,7.9,0.0,1733,67,0.0,0.0
82,14.0,4,8.6,0.0,1648,70,0.0,0.0
123,14.1,5,8.4,0.0,1923,69,0.0,0.0
290,14.1,6,8.4,0.0,1882,69,0.0,0.0
786,14.1,7,8.4,0.0,1692,69,0.0,0.0
1371,14.2,8,8.1,0.06,1812,67,0.0,0.0
761,14.6,9,7.3,0.19,1768,62,0.0,0.0
552,15.7,10,7.4,0.69,1980,58,0.0,0.0
643,17.5,11,8.3,1.35,1892,55,0.0,0.0
813,19.9,12,7.2,2.22,1874,44,0.0,0.0
789,20.9,13,8.1,2.66,1795,44,0.0,0.0
878,21.1,14,7.6,2.49,2000,42,0.0,0.0
1025,21.7,15,7.1,2.09,1979,39,0.0,0.0
1049,21.7,16,7.8,1.91,2000,41,0.0,0.0
1325,20.5,17,9.4,1.18,2000,49,0.0,0.0
2100,19.2,18,9.3,0.58,2000,53,0.0,0.0
1478,17.9,19,8.4,0.04,2000,54,0.0,0.0
1275,17.2,20,9.3,0.0,1993,60,0.0,0.0
1181,16.8,21,10.6,0.0,1775,67,0.0,0.0
983,16.2,22,10.9,0.0,1780,71,0.0,0.0
587,16.1,23,10.4,0.0,1666,69,0.0,0.0
466,16.0,0,10.3,0.0,1863,69,0.0,0.0
355,16.3,1,10.3,0.0,1859,68,0.0,0.0
203,16.5,2,10.5,0.0,1724,68,0.0,0.0
51,16.5,3,10.7,0.0,1659,69,0.0,0.0
9,15.1,4,12.7,0.0,877,86,0.0,0.0
8,14.5,5,13.5,0.0,487,94,0.0,0.0
10,14.4,6,13.7,0.0,453,96,8.0,0.0
15,14.3,7,13.8,0.0,189,97,0.0,0.0
39,14.1,8,13.6,0.0,342,97,0.0,0.0
32,14.1,9,13.7,0.06,253,98,17.0,0.0
27,14.2,10,13.8,0.14,299,98,0.0,0.0
65,13.9,11,13.5,0.13,296,98,0.0,0.0
204,13.3,12,12.8,0.19,771,97,2.0,0.0
269,12.7,13,12.2,0.23,467,97,0.0,0.0
289,12.1,14,11.6,0.2,177,97,0.0,0.0
329,11.6,15,11.1,0.26,117,97,0.0,0.0
214,10.7,16,10.3,0.14,196,98,0.0,0.0
411,10.9,17,10.5,0.09,222,98,0.0,0.0
676,10.4,18,10.0,0.03,116,98,0.0,0.0
606,10.4,19,10.0,0.0,391,98,0.0,0.0
533,10.5,20,10.0,0.0,372,97,0.0,0.0
567,10.4,21,9.7,0.0,499,96,0.0,0.0
506,9.8,22,8.2,0.0,493,90,0.0,0.0
343,9.3,23,7.7,0.0,609,90,0.0,0.0
287,8.4,0,6.1,0.0,2000,86,0.0,0.0
278,7.2,1,4.4,0.0,2000,83,0.0,0.0
178,6.7,2,1.9,0.0,2000,72,0.0,0.0
102,6.1,3,0.4,0.0,2000,67,0.0,0.0
85,5.7,4,-1.0,0.0,2000,62,0.0,0.0
85,5.2,5,-1.9,0.0,2000,60,0.0,0.0
222,4.4,6,-2.4,0.0,2000,61,0.0,0.0
652,3.7,7,-3.5,0.0,2000,59,0.0,0.0
1176,3.8,8,-4.1,0.32,2000,56,0.0,0.0
683,5.2,9,-4.1,1.08,2000,51,0.0,0.0
507,6.7,10,-4.1,1.79,1936,46,0.0,0.0
557,8.2,11,-3.0,2.38,1992,45,0.0,0.0
705,9.4,12,-3.5,2.78,1913,40,0.0,0.0
715,10.4,13,-3.3,2.99,1959,38,0.0,0.0
772,11.0,14,-3.5,2.91,1973,36,0.0,0.0
923,11.9,15,-4.3,2.62,1976,32,0.0,0.0
976,11.6,16,-4.9,2.11,1999,31,0.0,0.0
1160,11.2,17,-5.7,1.44,2000,30,0.0,0.0
1641,10.0,18,-5.5,0.68,2000,33,0.0,0.0
974,8.1,19,-6.1,0.06,2000,36,0.0,0.0
774,6.7,20,-5.6,0.0,2000,41,0.0,0.0
710,5.8,21,-5.8,0.0,2000,43,0.0,0.0
660,4.9,22,-5.7,0.0,2000,46,0.0,0.0
455,4.2,23,-6.1,0.0,2000,47,0.0,0.0
414,3.7,0,-6.3,0.0,2000,48,0.0,0.0
366,3.0,1,-5.9,0.0,2000,52,0.0,0.0
268,2.3,2,-5.5,0.0,2000,56,0.0,0.0
157,1.8,3,-5.3,0.0,2000,59,0.0,0.0
103,1.3,4,-5.4,0.0,2000,61,0.0,0.0
60,1.0,5,-5.4,0.0,2000,62,0.0,0.0
109,0.8,6,-5.4,0.0,2000,63,0.0,0.0
193,0.5,7,-5.5,0.01,2000,64,0.0,0.0
384,1.3,8,-6.2,0.32,1974,57,0.0,0.0
520,3.4,9,-6.3,1.03,1950,49,0.0,0.0
561,6.0,10,-5.6,1.69,1829,43,0.0,0.0
742,8.0,11,-5.1,2.26,1783,39,0.0,0.0
933,10.0,12,-3.6,2.51,1677,38,0.0,0.0
1111,10.9,13,-5.1,2.22,1772,32,0.0,0.0
